Actions_taken,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Year_of_decision,Lower_court_disagreement,Log_exposure
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1955.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,1.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,1.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1956.0,0.0,2.3
0.0,1.0,1.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1956.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,1.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,1.0,1.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,1.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,1.0,1.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,1.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1957.0,1.0,2.3
0.0,1.0,1.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,1.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,1.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,1.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,1.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,0.0,2.3
0.0,0.0,0.0,0.0,0.0,1958.0,1.0,2.3
0.0,1.0,0.0,0.0,1.0,1958.0,0.0,2.3
